ISO,sce,population
VNM,SSP2,78.2669006
VNM,SSP3,109.7312162
VNM,SSP4,57.82095603
VNM,SSP5,59.51794645
VUT,SSP1,0.342910282
VUT,SSP2,0.482055136
VUT,SSP3,0.716152029
VUT,SSP4,0.711952957
VUT,SSP5,0.342120598
WSM,SSP1,0.09106543
WSM,SSP2,0.135039753
WSM,SSP3,0.368089216
WSM,SSP4,0.210185751
WSM,SSP5,0.03717852
YEM,SSP1,49.52380756
YEM,SSP2,77.28098995
YEM,SSP3,135.2739937
YEM,SSP4,131.7001769
YEM,SSP5,46.72295138
ZAF,SSP1,48.9352008
ZAF,SSP2,58.48377165
ZAF,SSP3,71.17902763
ZAF,SSP4,38.7721047
ZAF,SSP5,52.37091398
ZMB,SSP1,29.65477899
ZMB,SSP2,43.43295081
ZMB,SSP3,73.2541049
ZMB,SSP4,70.14717245
ZMB,SSP5,28.02180868
ZWE,SSP1,9.093883233
ZWE,SSP2,11.48107653
ZWE,SSP3,20.33714959
ZWE,SSP4,15.7741671
ZWE,SSP5,5.493946965
