"","country","Category","gdp_ppp_pc_usd2011","population","gdp_quintile","tot_pop","tot_gdp","cum_pop","GCAM_region_ID","sce","year","d1_cutoff","d2_cutoff","d3_cutoff","d4_cutoff","d5_cutoff","d6_cutoff","d7_cutoff","d8_cutoff","d9_cutoff","category","max_cum_pop","shortfall"
"228","AR",NA,NA,34.77,NA,4447.56,NA,872.87,1,"SSP5",2035,444.76,889.51,1334.27,1779.02,2223.78,2668.54,3113.29,3558.05,4002.8,"d2",872.87,16.64
"229","FL",NA,NA,241.11,NA,4307.61,NA,1279.27,1,"SSP2",2035,430.76,861.52,1292.28,1723.04,2153.8,2584.57,3015.33,3446.09,3876.85,"d3",1279.27,13.01
"230","HI",NA,NA,13.88,NA,4121,NA,1233.18,1,"SSP3",2035,412.1,824.2,1236.3,1648.4,2060.5,2472.6,2884.7,3296.8,3708.9,"d3",1233.18,3.11999999999989
"231","ID",NA,NA,23.46,NA,4447.56,NA,1320.23,1,"SSP5",2035,444.76,889.51,1334.27,1779.02,2223.78,2668.54,3113.29,3558.05,4002.8,"d3",1320.23,14.04
"232","MA",NA,NA,71.29,NA,4307.61,NA,1697,1,"SSP2",2035,430.76,861.52,1292.28,1723.04,2153.8,2584.57,3015.33,3446.09,3876.85,"d4",1697,26.04
"233","MA",NA,NA,68.35,NA,4121,NA,1619.82,1,"SSP3",2035,412.1,824.2,1236.3,1648.4,2060.5,2472.6,2884.7,3296.8,3708.9,"d4",1619.82,28.5800000000002
"234","ME",NA,NA,14.45,NA,4447.56,NA,1757.83,1,"SSP5",2035,444.76,889.51,1334.27,1779.02,2223.78,2668.54,3113.29,3558.05,4002.8,"d4",1757.83,21.1900000000001
"235","NH",NA,NA,14.41,NA,4307.61,NA,2142.53,1,"SSP2",2035,430.76,861.52,1292.28,1723.04,2153.8,2584.57,3015.33,3446.09,3876.85,"d5",2142.53,11.27
"236","NH",NA,NA,13.83,NA,4121,NA,2046.2,1,"SSP3",2035,412.1,824.2,1236.3,1648.4,2060.5,2472.6,2884.7,3296.8,3708.9,"d5",2046.2,14.3
"237","NH",NA,NA,14.94,NA,4447.56,NA,2140,1,"SSP5",2035,444.76,889.51,1334.27,1779.02,2223.78,2668.54,3113.29,3558.05,4002.8,"d5",2140,83.7800000000002
"238","SD",NA,NA,9.87,NA,4307.61,NA,2581.6,1,"SSP2",2035,430.76,861.52,1292.28,1723.04,2153.8,2584.57,3015.33,3446.09,3876.85,"d6",2581.6,2.97000000000025
"239","SD",NA,NA,9.49,NA,4121,NA,2466.75,1,"SSP3",2035,412.1,824.2,1236.3,1648.4,2060.5,2472.6,2884.7,3296.8,3708.9,"d6",2466.75,5.84999999999991
"240","SD",NA,NA,10.27,NA,4447.56,NA,2596.75,1,"SSP5",2035,444.76,889.51,1334.27,1779.02,2223.78,2668.54,3113.29,3558.05,4002.8,"d6",2596.75,71.79
"241","AL",NA,NA,52.89,NA,4328.13,NA,840.57,1,"SSP2",2036,432.81,865.63,1298.44,1731.25,2164.06,2596.88,3029.69,3462.5,3895.32,"d2",840.57,25.0599999999999
"242","AL",NA,NA,50.33,NA,4120.73,NA,796.66,1,"SSP3",2036,412.07,824.15,1236.22,1648.29,2060.36,2472.44,2884.51,3296.58,3708.66,"d2",796.66,27.49
"243","AR",NA,NA,35.18,NA,4484.96,NA,877.84,1,"SSP5",2036,448.5,896.99,1345.49,1793.98,2242.48,2690.98,3139.47,3587.97,4036.46,"d2",877.84,19.15
"244","FL",NA,NA,242.21,NA,4328.13,NA,1285.96,1,"SSP2",2036,432.81,865.63,1298.44,1731.25,2164.06,2596.88,3029.69,3462.5,3895.32,"d3",1285.96,12.48
"245","HI",NA,NA,13.88,NA,4120.73,NA,1233.29,1,"SSP3",2036,412.07,824.15,1236.22,1648.29,2060.36,2472.44,2884.51,3296.58,3708.66,"d3",1233.29,2.93000000000006
"246","ID",NA,NA,23.8,NA,4484.96,NA,1329.99,1,"SSP5",2036,448.5,896.99,1345.49,1793.98,2242.48,2690.98,3139.47,3587.97,4036.46,"d3",1329.99,15.5
"247","MA",NA,NA,71.49,NA,4328.13,NA,1705.18,1,"SSP2",2036,432.81,865.63,1298.44,1731.25,2164.06,2596.88,3029.69,3462.5,3895.32,"d4",1705.18,26.0699999999999
"248","MA",NA,NA,68.21,NA,4120.73,NA,1619.49,1,"SSP3",2036,412.07,824.15,1236.22,1648.29,2060.36,2472.44,2884.51,3296.58,3708.66,"d4",1619.49,28.8
"249","ME",NA,NA,14.54,NA,4484.96,NA,1770.52,1,"SSP5",2036,448.5,896.99,1345.49,1793.98,2242.48,2690.98,3139.47,3587.97,4036.46,"d4",1770.52,23.46
"250","NH",NA,NA,14.45,NA,4328.13,NA,2152.7,1,"SSP2",2036,432.81,865.63,1298.44,1731.25,2164.06,2596.88,3029.69,3462.5,3895.32,"d5",2152.7,11.3600000000001
"251","NH",NA,NA,13.8,NA,4120.73,NA,2045.71,1,"SSP3",2036,412.07,824.15,1236.22,1648.29,2060.36,2472.44,2884.51,3296.58,3708.66,"d5",2045.71,14.6500000000001
